frame,r_knee_angle,r_hip_angle,r_ankle_angle,l_knee_angle,l_hip_angle,l_ankle_angle,r_thigh_length,r_calf_length,l_thigh_length,l_calf_length,hip_width,r_knee_flexion,l_knee_flexion,r_quad_width,r_calf_width,l_quad_width,l_calf_width
56,154.77942739492926,155.33813925822864,167.1043606189511,134.03561691410664,146.95665087551754,163.61469144641163,0.3832650662001718,0.38361424433135694,0.34320643297182424,0.3894217420520152,0.22990380822153345,110.30104896633085,122.47389503256346,0.11420998314234257,0.13824639731215227,0.1239663305154275,0.09567373588743903
57,157.31155350201286,155.2800347966045,166.209638385901,133.41495204941592,148.01210903560514,164.25045488292852,0.39382689092875106,0.37470530681318764,0.35386849754562116,0.37635244094948384,0.22816617755865523,111.51890473868926,123.88777430053538,0.11330779664704325,0.1350386022121924,0.12407119601821413,0.09598688831538169
58,156.65501855979588,155.4180142037601,166.33407971553137,136.12562484962882,150.75017825933537,163.7797390107034,0.3940152134476647,0.37877180334172456,0.35439807170019344,0.3724655240487134,0.2298544744093903,113.01249305415686,125.68052577710755,0.11477932907572949,0.13244180419973184,0.12339509244716758,0.09643926508477095
59,154.39771988693124,157.39474624454223,165.88027253266395,132.41091697735683,146.19973263532387,163.6806894242698,0.39606432251616575,0.37971502139634833,0.3661293044168347,0.3657366498953485,0.23524335292795262,114.66744500732159,125.99313659334719,0.11471421427146788,0.12626531051917253,0.12178510247870333,0.09701490060285232
60,157.1534571282634,158.8148723119215,165.0695158205682,131.87614496217367,139.84692883185758,164.35376837139864,0.39401260314168507,0.37725974254569344,0.38362844244219996,0.3618736261456056,0.23875880291745738,117.90648751787226,126.82145393037386,0.11111607723516582,0.1205615126448778,0.11985329304304675,0.09803887969570117
61,159.80203709147233,156.82356919907158,166.08202762060586,132.1852893043348,137.89936688697097,165.1480498534122,0.38984332921800025,0.3709423839397221,0.3816320712346529,0.3649515037190175,0.23855519286196353,123.69598623678986,124.62188917650467,0.11028358010520523,0.11826582873946108,0.11843391746016046,0.09810145860719295
62,161.23008909025407,157.7702862344956,165.97121864399796,134.41634451198723,136.51236296845323,164.23793834301202,0.38350364258692726,0.369258038666078,0.37672543831839866,0.35464135247600537,0.2418895605163603,126.10911815362033,125.51554884198256,0.10863817112442412,0.11585214171889704,0.11710953874000092,0.09780944000091177
63,161.28382323316893,158.9921740813609,164.83494645742002,134.88033222147206,132.36514119022002,164.5767173896387,0.37669430315126845,0.3733377073562018,0.3795215517442904,0.3533497950304113,0.2411341800668634,126.56040859107873,123.71801546696884,0.10704912024238869,0.1112174287587829,0.11623069351294787,0.09759608057690276
64,161.7607497161634,159.3914375691526,165.0325014851051,135.59703772065785,131.36009378849042,165.31241954730586,0.3748461681753576,0.37572076165027224,0.3839251249385086,0.35197980802161905,0.24008832531993504,126.55592695513988,122.03905337650625,0.10527015239795845,0.10890268021544117,0.11882680779004134,0.09670444054865428
65,162.26988522955963,159.73604608095494,165.38546767808333,137.77749685875227,133.33021699493779,165.00147363810393,0.3735128976065732,0.3769201989645418,0.38501141281603696,0.3492377329907165,0.23788536765031645,128.3824010820574,122.43045088795844,0.10603984520358214,0.1049244866409707,0.12195691180067668,0.09639744924468195
